	R1_Rigid_Posture_Copy	R2_Face_Centric	R3_Punctuated_Motions	R4_Vertical_Movements	R5_Subordinate_Fluidity	F1_Fluid_Posture	F2_Eye_Centric	F3_Gliding_Motions	F4_Horizontal_Movements	F5_Subordinate_Rigidity	PF1_Restless_Momentum	PF2_Toggling_Eyes	PF3_Body_Swaying	PF4_Casual_Hands	PF5_Alert_Perk_Ups	RF1_Viscous_Inertia	RF2_Fixed_Gaze	RF3_Diagonal_Eye_Drifts	RF4_Searching_Scowling	RF5_Narrow_Head_Zoning	PR1_Head_Pushes	PR2_Head_Shakes	PR3_Shoulder_Shrugs	PR4_Fluent_Articulation	PR5_Projecting_Hands	RR1_Poised_Receding	RR2_Disengaging_Eyes	RR3_Exerted_Pushes	RR4_Momentum_Halting	RR5_Meticulous_Hands
Cœur de Pirate	4	2	4	2		4	4	2	4	4	4	7	4	7	4		2	2	2		4	2	2	4	4	4	4	4	4	4
Michael Gervais	7	7	7	7	4			2	4		2	2	2	2	4		4	2	4	2	7	7	4	7	7	2	2			2
Joan Jett	2	2	4	4		4	7	2	7	4	2	7	7	2	4			2			4	4	2	4	7	2	2	2	2	2
Ben Stein		2	2	2		2	2	2	2	2		2			2	7	7	2		7	2	2		7	2	2	2			2
Billie Joe Armstrong	4	7	2	4	4	4		2	2		2	7	4	4	7		2	4	4		4	7	2	2	4	4	7	2	4	4
Dean Schneider	0	2	2	4	0	7	7	7	7	4	7	7	4	4	7	2	0	2	0	2	4	4	4	4	7	0	2	2	0	2
Megyn Kelly	7	7	7	7	4			0			0	2	2	2	4			4			7	7	2	7	4	2			2	2
Chloe Sevigny	7	4	2	4	2		2	2	4			4	2	7	7			2	2			7	4	7	7	7	4	0	2	7
Philip Ovadia		2		2		2	2		7	2		2		4	2	7	7	2		7	2	2		7	2		2	2	2	2
Kat Von D	4	4	2	2	0	2	4	4	4	7	7	7	7	7	4			2			2	2	4	4	4	2	7	2	4	4
Eberechi Eze	2	2		2		7	7	4	7	2	2	7	4	7	4	7	4	2		4	2	2	2	4	0	2	2	2	2	2
