SubjectNr	SignalCode	SignalDescr	Count
1	Ca-1	Taut Nasolabial Tension	0
2	Ca-1	Taut Nasolabial Tension	0
3	Ca-1	Taut Nasolabial Tension	0
4	Ca-1	Taut Nasolabial Tension	0
5	Ca-1	Taut Nasolabial Tension	0
6	Ca-1	Taut Nasolabial Tension	2
7	Ca-1	Taut Nasolabial Tension	4
8	Ca-1	Taut Nasolabial Tension	0
9	Ca-1	Taut Nasolabial Tension	7
10	Ca-1	Taut Nasolabial Tension	4
11	Ca-1	Taut Nasolabial Tension	4
12	Ca-1	Taut Nasolabial Tension	0
13	Ca-1	Taut Nasolabial Tension	0
14	Ca-1	Taut Nasolabial Tension	4
15	Ca-1	Taut Nasolabial Tension	0
16	Ca-1	Taut Nasolabial Tension	0
17	Ca-1	Taut Nasolabial Tension	4
18	Ca-1	Taut Nasolabial Tension	0
19	Ca-1	Taut Nasolabial Tension	0
20	Ca-1	Taut Nasolabial Tension	0
21	Ca-1	Taut Nasolabial Tension	0
22	Ca-1	Taut Nasolabial Tension	0
23	Ca-1	Taut Nasolabial Tension	0
24	Ca-1	Taut Nasolabial Tension	2
25	Ca-1	Taut Nasolabial Tension	2
26	Ca-1	Taut Nasolabial Tension	0
27	Ca-1	Taut Nasolabial Tension	0
28	Ca-1	Taut Nasolabial Tension	0
29	Ca-1	Taut Nasolabial Tension	0
30	Ca-1	Taut Nasolabial Tension	7
31	Ca-1	Taut Nasolabial Tension	0
32	Ca-1	Taut Nasolabial Tension	0
1	Ca-2	Vertical Snarling Smiles	0
2	Ca-2	Vertical Snarling Smiles	4
3	Ca-2	Vertical Snarling Smiles	2
4	Ca-2	Vertical Snarling Smiles	0
5	Ca-2	Vertical Snarling Smiles	4
6	Ca-2	Vertical Snarling Smiles	0
7	Ca-2	Vertical Snarling Smiles	7
8	Ca-2	Vertical Snarling Smiles	0
9	Ca-2	Vertical Snarling Smiles	4
10	Ca-2	Vertical Snarling Smiles	4
11	Ca-2	Vertical Snarling Smiles	0
12	Ca-2	Vertical Snarling Smiles	0
13	Ca-2	Vertical Snarling Smiles	0
14	Ca-2	Vertical Snarling Smiles	2
15	Ca-2	Vertical Snarling Smiles	0
16	Ca-2	Vertical Snarling Smiles	0
17	Ca-2	Vertical Snarling Smiles	4
18	Ca-2	Vertical Snarling Smiles	0
19	Ca-2	Vertical Snarling Smiles	4
20	Ca-2	Vertical Snarling Smiles	0
21	Ca-2	Vertical Snarling Smiles	0
22	Ca-2	Vertical Snarling Smiles	0
23	Ca-2	Vertical Snarling Smiles	0
24	Ca-2	Vertical Snarling Smiles	4
25	Ca-2	Vertical Snarling Smiles	2
26	Ca-2	Vertical Snarling Smiles	0
27	Ca-2	Vertical Snarling Smiles	0
28	Ca-2	Vertical Snarling Smiles	0
29	Ca-2	Vertical Snarling Smiles	0
30	Ca-2	Vertical Snarling Smiles	2
31	Ca-2	Vertical Snarling Smiles	0
32	Ca-2	Vertical Snarling Smiles	0
1	Ca-3	Four Point Pulling	0
2	Ca-3	Four Point Pulling	4
3	Ca-3	Four Point Pulling	4
4	Ca-3	Four Point Pulling	2
5	Ca-3	Four Point Pulling	2
6	Ca-3	Four Point Pulling	0
7	Ca-3	Four Point Pulling	7
8	Ca-3	Four Point Pulling	0
9	Ca-3	Four Point Pulling	7
10	Ca-3	Four Point Pulling	2
11	Ca-3	Four Point Pulling	0
12	Ca-3	Four Point Pulling	0
13	Ca-3	Four Point Pulling	0
14	Ca-3	Four Point Pulling	4
15	Ca-3	Four Point Pulling	0
16	Ca-3	Four Point Pulling	0
17	Ca-3	Four Point Pulling	4
18	Ca-3	Four Point Pulling	7
19	Ca-3	Four Point Pulling	7
20	Ca-3	Four Point Pulling	0
21	Ca-3	Four Point Pulling	0
22	Ca-3	Four Point Pulling	0
23	Ca-3	Four Point Pulling	0
24	Ca-3	Four Point Pulling	7
25	Ca-3	Four Point Pulling	2
26	Ca-3	Four Point Pulling	0
27	Ca-3	Four Point Pulling	0
28	Ca-3	Four Point Pulling	0
29	Ca-3	Four Point Pulling	0
30	Ca-3	Four Point Pulling	4
31	Ca-3	Four Point Pulling	0
32	Ca-3	Four Point Pulling	0
1	Ca-4	Wobbling Lips	2
2	Ca-4	Wobbling Lips	2
3	Ca-4	Wobbling Lips	2
4	Ca-4	Wobbling Lips	2
5	Ca-4	Wobbling Lips	2
6	Ca-4	Wobbling Lips	0
7	Ca-4	Wobbling Lips	2
8	Ca-4	Wobbling Lips	0
9	Ca-4	Wobbling Lips	7
10	Ca-4	Wobbling Lips	7
11	Ca-4	Wobbling Lips	4
12	Ca-4	Wobbling Lips	4
13	Ca-4	Wobbling Lips	0
14	Ca-4	Wobbling Lips	2
15	Ca-4	Wobbling Lips	0
16	Ca-4	Wobbling Lips	0
17	Ca-4	Wobbling Lips	0
18	Ca-4	Wobbling Lips	2
19	Ca-4	Wobbling Lips	2
20	Ca-4	Wobbling Lips	0
21	Ca-4	Wobbling Lips	0
22	Ca-4	Wobbling Lips	0
23	Ca-4	Wobbling Lips	2
24	Ca-4	Wobbling Lips	0
25	Ca-4	Wobbling Lips	2
26	Ca-4	Wobbling Lips	0
27	Ca-4	Wobbling Lips	2
28	Ca-4	Wobbling Lips	2
29	Ca-4	Wobbling Lips	2
30	Ca-4	Wobbling Lips	4
31	Ca-4	Wobbling Lips	0
32	Ca-4	Wobbling Lips	0
1	Ca-5	Asymmetrical Smirks	0
2	Ca-5	Asymmetrical Smirks	4
3	Ca-5	Asymmetrical Smirks	2
4	Ca-5	Asymmetrical Smirks	0
5	Ca-5	Asymmetrical Smirks	0
6	Ca-5	Asymmetrical Smirks	0
7	Ca-5	Asymmetrical Smirks	0
8	Ca-5	Asymmetrical Smirks	2
9	Ca-5	Asymmetrical Smirks	7
10	Ca-5	Asymmetrical Smirks	7
11	Ca-5	Asymmetrical Smirks	2
12	Ca-5	Asymmetrical Smirks	2
13	Ca-5	Asymmetrical Smirks	0
14	Ca-5	Asymmetrical Smirks	2
15	Ca-5	Asymmetrical Smirks	0
16	Ca-5	Asymmetrical Smirks	0
17	Ca-5	Asymmetrical Smirks	0
18	Ca-5	Asymmetrical Smirks	0
19	Ca-5	Asymmetrical Smirks	0
20	Ca-5	Asymmetrical Smirks	0
21	Ca-5	Asymmetrical Smirks	0
22	Ca-5	Asymmetrical Smirks	0
23	Ca-5	Asymmetrical Smirks	2
24	Ca-5	Asymmetrical Smirks	0
25	Ca-5	Asymmetrical Smirks	0
26	Ca-5	Asymmetrical Smirks	0
27	Ca-5	Asymmetrical Smirks	2
28	Ca-5	Asymmetrical Smirks	2
29	Ca-5	Asymmetrical Smirks	0
30	Ca-5	Asymmetrical Smirks	4
31	Ca-5	Asymmetrical Smirks	0
32	Ca-5	Asymmetrical Smirks	0
1	Ca-6	Sassy Movements	0
2	Ca-6	Sassy Movements	4
3	Ca-6	Sassy Movements	4
4	Ca-6	Sassy Movements	4
5	Ca-6	Sassy Movements	4
6	Ca-6	Sassy Movements	0
7	Ca-6	Sassy Movements	4
8	Ca-6	Sassy Movements	0
9	Ca-6	Sassy Movements	7
10	Ca-6	Sassy Movements	2
11	Ca-6	Sassy Movements	2
12	Ca-6	Sassy Movements	2
13	Ca-6	Sassy Movements	2
14	Ca-6	Sassy Movements	2
15	Ca-6	Sassy Movements	0
16	Ca-6	Sassy Movements	0
17	Ca-6	Sassy Movements	0
18	Ca-6	Sassy Movements	0
19	Ca-6	Sassy Movements	2
20	Ca-6	Sassy Movements	0
21	Ca-6	Sassy Movements	0
22	Ca-6	Sassy Movements	0
23	Ca-6	Sassy Movements	0
24	Ca-6	Sassy Movements	0
25	Ca-6	Sassy Movements	7
26	Ca-6	Sassy Movements	0
27	Ca-6	Sassy Movements	0
28	Ca-6	Sassy Movements	0
29	Ca-6	Sassy Movements	0
30	Ca-6	Sassy Movements	2
31	Ca-6	Sassy Movements	0
32	Ca-6	Sassy Movements	0
1	Ca-7	Plateau Velocity	0
2	Ca-7	Plateau Velocity	0
3	Ca-7	Plateau Velocity	2
4	Ca-7	Plateau Velocity	0
5	Ca-7	Plateau Velocity	7
6	Ca-7	Plateau Velocity	0
7	Ca-7	Plateau Velocity	4
8	Ca-7	Plateau Velocity	0
9	Ca-7	Plateau Velocity	7
10	Ca-7	Plateau Velocity	2
11	Ca-7	Plateau Velocity	0
12	Ca-7	Plateau Velocity	2
13	Ca-7	Plateau Velocity	2
14	Ca-7	Plateau Velocity	2
15	Ca-7	Plateau Velocity	0
16	Ca-7	Plateau Velocity	0
17	Ca-7	Plateau Velocity	0
18	Ca-7	Plateau Velocity	0
19	Ca-7	Plateau Velocity	2
20	Ca-7	Plateau Velocity	0
21	Ca-7	Plateau Velocity	0
22	Ca-7	Plateau Velocity	0
23	Ca-7	Plateau Velocity	0
24	Ca-7	Plateau Velocity	2
25	Ca-7	Plateau Velocity	7
26	Ca-7	Plateau Velocity	2
27	Ca-7	Plateau Velocity	2
28	Ca-7	Plateau Velocity	0
29	Ca-7	Plateau Velocity	0
30	Ca-7	Plateau Velocity	4
